Total classes 47.
Number of train samples : 6931
Total classes 47.
Number of val samples : 1733
=> creating model 'SpixelNet1l_bn'
=> setting adam solver
=> will save everything to /vulcanscratch/cmparam9/gh/dispTask/checkpoints/SceneFlow/SpixelNet1l_bn_adam_3000000epochs_epochSize6000_b8_lr5e-05_posW0.003_
/cfarhomes/cmparam9/.local/lib/python3.6/site-packages/torch/utils/data/dataloader.py:481: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
train Epoch: [0][0/866]	 Time 7.679 (7.679)	 Data 4.385 (4.385)	 Total_loss 152.295 (152.295)	 Loss_sem 3.275 (3.275)	 Loss_pos 149.020 (149.020)	
train Epoch: [0][250/866]	 Time 1.040 (0.937)	 Data 0.751 (0.616)	 Total_loss 84.533 (107.781)	 Loss_sem 1.071 (1.744)	 Loss_pos 83.463 (106.037)	
train Epoch: [0][260/866]	 Time 0.802 (0.936)	 Data 0.476 (0.615)	 Total_loss 98.227 (106.825)	 Loss_sem 1.071 (1.718)	 Loss_pos 97.156 (105.107)	
train Epoch: [0][270/866]	 Time 1.127 (0.936)	 Data 0.824 (0.616)	 Total_loss 93.419 (105.555)	 Loss_sem 1.062 (1.693)	 Loss_pos 92.357 (103.862)	
train Epoch: [0][280/866]	 Time 0.962 (0.935)	 Data 0.685 (0.615)	 Total_loss 52.939 (103.705)	 Loss_sem 1.011 (1.669)	 Loss_pos 51.929 (102.036)	
train Epoch: [0][290/866]	 Time 1.022 (0.934)	 Data 0.724 (0.615)	 Total_loss 63.235 (102.487)	 Loss_sem 1.041 (1.647)	 Loss_pos 62.194 (100.839)	
train Epoch: [0][300/866]	 Time 0.823 (0.933)	 Data 0.508 (0.614)	 Total_loss 68.079 (101.129)	 Loss_sem 1.035 (1.626)	 Loss_pos 67.043 (99.502)	
train Epoch: [0][310/866]	 Time 0.868 (0.932)	 Data 0.579 (0.614)	 Total_loss 80.631 (100.074)	 Loss_sem 1.018 (1.607)	 Loss_pos 79.613 (98.468)	
train Epoch: [0][320/866]	 Time 0.856 (0.932)	 Data 0.570 (0.614)	 Total_loss 59.251 (98.854)	 Loss_sem 1.002 (1.588)	 Loss_pos 58.249 (97.266)	
train Epoch: [0][330/866]	 Time 0.882 (0.933)	 Data 0.499 (0.614)	 Total_loss 22.820 (97.781)	 Loss_sem 0.939 (1.570)	 Loss_pos 21.881 (96.211)	
train Epoch: [0][340/866]	 Time 0.746 (0.932)	 Data 0.428 (0.614)	 Total_loss 49.111 (96.556)	 Loss_sem 0.969 (1.553)	 Loss_pos 48.142 (95.003)	
train Epoch: [0][350/866]	 Time 0.901 (0.932)	 Data 0.580 (0.614)	 Total_loss 44.870 (95.363)	 Loss_sem 0.981 (1.537)	 Loss_pos 43.889 (93.826)	
train Epoch: [0][360/866]	 Time 1.111 (0.932)	 Data 0.834 (0.615)	 Total_loss 46.474 (94.233)	 Loss_sem 0.929 (1.521)	 Loss_pos 45.545 (92.711)	
train Epoch: [0][370/866]	 Time 0.935 (0.931)	 Data 0.657 (0.614)	 Total_loss 38.079 (93.146)	 Loss_sem 0.970 (1.507)	 Loss_pos 37.108 (91.639)	
train Epoch: [0][380/866]	 Time 0.925 (0.932)	 Data 0.585 (0.614)	 Total_loss 80.324 (92.153)	 Loss_sem 1.033 (1.493)	 Loss_pos 79.290 (90.660)	
train Epoch: [0][390/866]	 Time 0.749 (0.931)	 Data 0.424 (0.613)	 Total_loss 65.407 (91.264)	 Loss_sem 1.008 (1.481)	 Loss_pos 64.399 (89.783)	
train Epoch: [0][400/866]	 Time 0.894 (0.931)	 Data 0.607 (0.614)	 Total_loss 73.261 (90.446)	 Loss_sem 1.017 (1.468)	 Loss_pos 72.244 (88.978)	
train Epoch: [0][410/866]	 Time 0.900 (0.931)	 Data 0.579 (0.614)	 Total_loss 42.710 (89.650)	 Loss_sem 0.969 (1.456)	 Loss_pos 41.741 (88.193)	
train Epoch: [0][420/866]	 Time 0.960 (0.930)	 Data 0.601 (0.614)	 Total_loss 40.400 (88.679)	 Loss_sem 0.984 (1.445)	 Loss_pos 39.417 (87.233)	
train Epoch: [0][430/866]	 Time 1.036 (0.930)	 Data 0.737 (0.614)	 Total_loss 49.188 (87.877)	 Loss_sem 0.983 (1.434)	 Loss_pos 48.205 (86.443)	
train Epoch: [0][440/866]	 Time 0.814 (0.930)	 Data 0.497 (0.614)	 Total_loss 30.321 (87.041)	 Loss_sem 0.925 (1.424)	 Loss_pos 29.396 (85.617)	
train Epoch: [0][450/866]	 Time 0.980 (0.930)	 Data 0.685 (0.614)	 Total_loss 44.386 (86.051)	 Loss_sem 0.964 (1.414)	 Loss_pos 43.422 (84.637)	
train Epoch: [0][460/866]	 Time 1.021 (0.931)	 Data 0.675 (0.615)	 Total_loss 52.122 (85.352)	 Loss_sem 0.969 (1.405)	 Loss_pos 51.154 (83.947)	
train Epoch: [0][470/866]	 Time 1.122 (0.930)	 Data 0.790 (0.614)	 Total_loss 68.846 (84.694)	 Loss_sem 0.977 (1.395)	 Loss_pos 67.870 (83.298)	
train Epoch: [0][480/866]	 Time 1.094 (0.931)	 Data 0.771 (0.615)	 Total_loss 37.456 (83.934)	 Loss_sem 0.982 (1.387)	 Loss_pos 36.474 (82.547)	
train Epoch: [0][490/866]	 Time 0.810 (0.931)	 Data 0.527 (0.615)	 Total_loss 57.048 (83.145)	 Loss_sem 1.011 (1.378)	 Loss_pos 56.037 (81.767)	
train Epoch: [0][500/866]	 Time 0.990 (0.931)	 Data 0.691 (0.615)	 Total_loss 44.193 (82.368)	 Loss_sem 1.019 (1.370)	 Loss_pos 43.174 (80.998)	
train Epoch: [0][510/866]	 Time 0.831 (0.931)	 Data 0.541 (0.615)	 Total_loss 43.070 (81.609)	 Loss_sem 0.953 (1.363)	 Loss_pos 42.117 (80.246)	
train Epoch: [0][520/866]	 Time 0.938 (0.931)	 Data 0.618 (0.615)	 Total_loss 35.679 (80.905)	 Loss_sem 0.966 (1.355)	 Loss_pos 34.712 (79.549)	
train Epoch: [0][530/866]	 Time 0.901 (0.930)	 Data 0.614 (0.615)	 Total_loss 29.465 (80.165)	 Loss_sem 0.960 (1.348)	 Loss_pos 28.505 (78.817)	
train Epoch: [0][540/866]	 Time 1.035 (0.930)	 Data 0.739 (0.614)	 Total_loss 30.500 (79.370)	 Loss_sem 0.931 (1.341)	 Loss_pos 29.569 (78.029)	
train Epoch: [0][550/866]	 Time 0.925 (0.930)	 Data 0.641 (0.615)	 Total_loss 39.726 (78.692)	 Loss_sem 0.997 (1.335)	 Loss_pos 38.729 (77.357)	
train Epoch: [0][560/866]	 Time 0.937 (0.930)	 Data 0.633 (0.615)	 Total_loss 44.992 (78.039)	 Loss_sem 0.984 (1.328)	 Loss_pos 44.008 (76.710)	
train Epoch: [0][570/866]	 Time 0.867 (0.929)	 Data 0.568 (0.614)	 Total_loss 25.326 (77.317)	 Loss_sem 0.967 (1.322)	 Loss_pos 24.359 (75.995)	
train Epoch: [0][580/866]	 Time 0.920 (0.929)	 Data 0.635 (0.614)	 Total_loss 31.004 (76.690)	 Loss_sem 1.013 (1.316)	 Loss_pos 29.990 (75.374)	
train Epoch: [0][590/866]	 Time 1.066 (0.929)	 Data 0.790 (0.614)	 Total_loss 30.942 (76.013)	 Loss_sem 0.985 (1.310)	 Loss_pos 29.957 (74.703)	
train Epoch: [0][600/866]	 Time 0.901 (0.929)	 Data 0.600 (0.614)	 Total_loss 29.712 (75.439)	 Loss_sem 0.962 (1.305)	 Loss_pos 28.749 (74.134)	
train Epoch: [0][610/866]	 Time 0.720 (0.929)	 Data 0.431 (0.614)	 Total_loss 29.751 (74.805)	 Loss_sem 0.993 (1.300)	 Loss_pos 28.758 (73.506)	
train Epoch: [0][620/866]	 Time 1.057 (0.929)	 Data 0.706 (0.614)	 Total_loss 37.122 (74.165)	 Loss_sem 0.972 (1.294)	 Loss_pos 36.150 (72.871)	
train Epoch: [0][630/866]	 Time 0.848 (0.929)	 Data 0.564 (0.614)	 Total_loss 32.464 (73.535)	 Loss_sem 0.995 (1.289)	 Loss_pos 31.469 (72.245)	
train Epoch: [0][640/866]	 Time 0.971 (0.928)	 Data 0.675 (0.614)	 Total_loss 21.519 (72.893)	 Loss_sem 0.950 (1.284)	 Loss_pos 20.568 (71.608)	
train Epoch: [0][650/866]	 Time 1.073 (0.928)	 Data 0.769 (0.614)	 Total_loss 31.159 (72.322)	 Loss_sem 0.951 (1.280)	 Loss_pos 30.208 (71.042)	
train Epoch: [0][660/866]	 Time 0.920 (0.928)	 Data 0.612 (0.614)	 Total_loss 37.434 (71.846)	 Loss_sem 0.983 (1.275)	 Loss_pos 36.451 (70.571)	
train Epoch: [0][670/866]	 Time 0.718 (0.927)	 Data 0.440 (0.613)	 Total_loss 48.631 (71.296)	 Loss_sem 1.009 (1.271)	 Loss_pos 47.622 (70.025)	
train Epoch: [0][680/866]	 Time 0.893 (0.928)	 Data 0.605 (0.613)	 Total_loss 43.137 (70.720)	 Loss_sem 0.995 (1.266)	 Loss_pos 42.142 (69.454)	
train Epoch: [0][690/866]	 Time 1.069 (0.928)	 Data 0.780 (0.614)	 Total_loss 36.483 (70.288)	 Loss_sem 0.966 (1.262)	 Loss_pos 35.517 (69.026)	
train Epoch: [0][700/866]	 Time 0.949 (0.928)	 Data 0.666 (0.614)	 Total_loss 38.589 (69.844)	 Loss_sem 0.998 (1.258)	 Loss_pos 37.591 (68.586)	
train Epoch: [0][710/866]	 Time 1.025 (0.928)	 Data 0.730 (0.615)	 Total_loss 31.199 (69.424)	 Loss_sem 0.911 (1.254)	 Loss_pos 30.288 (68.170)	
train Epoch: [0][720/866]	 Time 0.987 (0.928)	 Data 0.676 (0.615)	 Total_loss 29.876 (68.951)	 Loss_sem 0.957 (1.250)	 Loss_pos 28.919 (67.701)	
train Epoch: [0][730/866]	 Time 0.858 (0.929)	 Data 0.550 (0.615)	 Total_loss 35.707 (68.443)	 Loss_sem 1.037 (1.246)	 Loss_pos 34.670 (67.197)	
train Epoch: [0][740/866]	 Time 0.991 (0.929)	 Data 0.671 (0.615)	 Total_loss 34.706 (67.984)	 Loss_sem 1.018 (1.243)	 Loss_pos 33.688 (66.741)	
train Epoch: [0][750/866]	 Time 0.965 (0.928)	 Data 0.655 (0.615)	 Total_loss 45.257 (67.565)	 Loss_sem 0.986 (1.239)	 Loss_pos 44.271 (66.326)	
train Epoch: [0][760/866]	 Time 1.072 (0.929)	 Data 0.759 (0.615)	 Total_loss 64.605 (67.168)	 Loss_sem 1.014 (1.236)	 Loss_pos 63.591 (65.932)	
train Epoch: [0][770/866]	 Time 0.922 (0.929)	 Data 0.606 (0.615)	 Total_loss 29.622 (66.690)	 Loss_sem 0.963 (1.233)	 Loss_pos 28.659 (65.457)	
train Epoch: [0][780/866]	 Time 0.964 (0.929)	 Data 0.646 (0.615)	 Total_loss 35.547 (66.244)	 Loss_sem 0.960 (1.229)	 Loss_pos 34.588 (65.015)	
train Epoch: [0][790/866]	 Time 1.103 (0.929)	 Data 0.825 (0.615)	 Total_loss 50.214 (65.844)	 Loss_sem 1.044 (1.226)	 Loss_pos 49.170 (64.618)	
train Epoch: [0][800/866]	 Time 1.051 (0.929)	 Data 0.743 (0.616)	 Total_loss 40.344 (65.447)	 Loss_sem 0.990 (1.223)	 Loss_pos 39.354 (64.224)	
train Epoch: [0][810/866]	 Time 0.607 (0.929)	 Data 0.329 (0.615)	 Total_loss 43.847 (65.083)	 Loss_sem 0.949 (1.220)	 Loss_pos 42.898 (63.863)	
train Epoch: [0][820/866]	 Time 0.879 (0.929)	 Data 0.557 (0.615)	 Total_loss 23.014 (64.683)	 Loss_sem 0.928 (1.216)	 Loss_pos 22.086 (63.467)	
train Epoch: [0][830/866]	 Time 0.755 (0.929)	 Data 0.447 (0.616)	 Total_loss 40.893 (64.290)	 Loss_sem 1.026 (1.214)	 Loss_pos 39.867 (63.077)	
train Epoch: [0][840/866]	 Time 0.841 (0.929)	 Data 0.527 (0.616)	 Total_loss 29.659 (63.867)	 Loss_sem 1.008 (1.211)	 Loss_pos 28.651 (62.656)	
train Epoch: [0][850/866]	 Time 1.136 (0.929)	 Data 0.814 (0.616)	 Total_loss 35.729 (63.519)	 Loss_sem 0.959 (1.208)	 Loss_pos 34.770 (62.311)	
train Epoch: [0][860/866]	 Time 0.543 (0.928)	 Data 0.252 (0.615)	 Total_loss 38.238 (63.192)	 Loss_sem 1.034 (1.206)	 Loss_pos 37.204 (61.986)	
==> write train step 865th to tensorboard
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
val Epoch: [0][0/216]	 Time 4.065 (4.065)	 Data 3.891 (3.891)	 Total_loss 27.826 (27.826)	 Loss_sem 26.847 (26.847)	 Loss_pos 0.979 (0.979)	
val Epoch: [0][10/216]	 Time 1.171 (1.212)	 Data 1.007 (1.074)	 Total_loss 35.438 (33.937)	 Loss_sem 34.442 (32.950)	 Loss_pos 0.996 (0.987)	
val Epoch: [0][20/216]	 Time 0.771 (1.072)	 Data 0.631 (0.932)	 Total_loss 28.275 (33.894)	 Loss_sem 27.297 (32.904)	 Loss_pos 0.978 (0.989)	
val Epoch: [0][30/216]	 Time 0.710 (1.016)	 Data 0.581 (0.879)	 Total_loss 23.596 (32.994)	 Loss_sem 22.573 (32.005)	 Loss_pos 1.023 (0.988)	
val Epoch: [0][40/216]	 Time 0.849 (0.981)	 Data 0.747 (0.843)	 Total_loss 37.819 (32.413)	 Loss_sem 36.856 (31.426)	 Loss_pos 0.963 (0.987)	
val Epoch: [0][50/216]	 Time 0.898 (0.967)	 Data 0.786 (0.826)	 Total_loss 31.805 (32.871)	 Loss_sem 30.829 (31.882)	 Loss_pos 0.975 (0.989)	
val Epoch: [0][60/216]	 Time 0.849 (0.956)	 Data 0.741 (0.818)	 Total_loss 43.876 (33.314)	 Loss_sem 42.874 (32.325)	 Loss_pos 1.003 (0.989)	
val Epoch: [0][70/216]	 Time 1.000 (0.948)	 Data 0.851 (0.810)	 Total_loss 35.345 (33.716)	 Loss_sem 34.341 (32.727)	 Loss_pos 1.004 (0.989)	
val Epoch: [0][80/216]	 Time 0.958 (0.943)	 Data 0.848 (0.802)	 Total_loss 47.587 (33.398)	 Loss_sem 46.601 (32.411)	 Loss_pos 0.986 (0.987)	
val Epoch: [0][90/216]	 Time 0.945 (0.932)	 Data 0.812 (0.791)	 Total_loss 37.848 (33.776)	 Loss_sem 36.857 (32.790)	 Loss_pos 0.992 (0.987)	
val Epoch: [0][100/216]	 Time 0.961 (0.928)	 Data 0.822 (0.789)	 Total_loss 37.535 (33.295)	 Loss_sem 36.556 (32.308)	 Loss_pos 0.980 (0.988)	
val Epoch: [0][110/216]	 Time 0.888 (0.922)	 Data 0.776 (0.783)	 Total_loss 25.395 (33.376)	 Loss_sem 24.451 (32.390)	 Loss_pos 0.944 (0.986)	
val Epoch: [0][120/216]	 Time 1.013 (0.921)	 Data 0.895 (0.782)	 Total_loss 26.917 (33.475)	 Loss_sem 25.931 (32.489)	 Loss_pos 0.986 (0.986)	
val Epoch: [0][130/216]	 Time 0.812 (0.916)	 Data 0.696 (0.778)	 Total_loss 31.039 (33.734)	 Loss_sem 30.063 (32.748)	 Loss_pos 0.976 (0.987)	
val Epoch: [0][140/216]	 Time 1.018 (0.912)	 Data 0.903 (0.775)	 Total_loss 36.000 (33.508)	 Loss_sem 35.018 (32.521)	 Loss_pos 0.982 (0.987)	
val Epoch: [0][150/216]	 Time 0.988 (0.911)	 Data 0.838 (0.773)	 Total_loss 28.854 (33.486)	 Loss_sem 27.897 (32.497)	 Loss_pos 0.957 (0.988)	
val Epoch: [0][160/216]	 Time 1.062 (0.908)	 Data 0.965 (0.772)	 Total_loss 27.092 (33.195)	 Loss_sem 26.079 (32.206)	 Loss_pos 1.014 (0.989)	
val Epoch: [0][170/216]	 Time 1.019 (0.906)	 Data 0.898 (0.771)	 Total_loss 18.253 (32.982)	 Loss_sem 17.235 (31.993)	 Loss_pos 1.019 (0.989)	
val Epoch: [0][180/216]	 Time 0.986 (0.905)	 Data 0.864 (0.771)	 Total_loss 42.864 (33.070)	 Loss_sem 41.838 (32.081)	 Loss_pos 1.027 (0.989)	
val Epoch: [0][190/216]	 Time 0.749 (0.903)	 Data 0.547 (0.768)	 Total_loss 36.251 (32.811)	 Loss_sem 35.204 (31.821)	 Loss_pos 1.047 (0.989)	
val Epoch: [0][200/216]	 Time 0.864 (0.902)	 Data 0.766 (0.768)	 Total_loss 41.523 (32.939)	 Loss_sem 40.560 (31.949)	 Loss_pos 0.963 (0.990)	
val Epoch: [0][210/216]	 Time 0.442 (0.896)	 Data 0.346 (0.761)	 Total_loss 28.731 (32.785)	 Loss_sem 27.764 (31.795)	 Loss_pos 0.967 (0.990)	
==> write val step 215th to tensorboard
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
train Epoch: [1][0/866]	 Time 4.784 (4.784)	 Data 4.432 (4.432)	 Total_loss 36.346 (36.346)	 Loss_sem 0.970 (0.970)	 Loss_pos 35.376 (35.376)	
train Epoch: [1][10/866]	 Time 0.806 (1.374)	 Data 0.479 (1.052)	 Total_loss 32.011 (33.685)	 Loss_sem 0.932 (0.970)	 Loss_pos 31.079 (32.715)	
train Epoch: [1][20/866]	 Time 0.834 (1.164)	 Data 0.524 (0.845)	 Total_loss 50.361 (34.586)	 Loss_sem 1.067 (0.976)	 Loss_pos 49.295 (33.611)	
train Epoch: [1][30/866]	 Time 0.767 (1.092)	 Data 0.474 (0.777)	 Total_loss 27.837 (32.575)	 Loss_sem 0.951 (0.975)	 Loss_pos 26.886 (31.600)	
train Epoch: [1][40/866]	 Time 0.964 (1.053)	 Data 0.662 (0.741)	 Total_loss 26.490 (31.420)	 Loss_sem 0.969 (0.978)	 Loss_pos 25.521 (30.442)	
train Epoch: [1][50/866]	 Time 0.854 (1.033)	 Data 0.511 (0.721)	 Total_loss 52.349 (31.711)	 Loss_sem 1.004 (0.980)	 Loss_pos 51.345 (30.731)	
train Epoch: [1][60/866]	 Time 0.833 (1.019)	 Data 0.494 (0.707)	 Total_loss 50.687 (31.556)	 Loss_sem 1.018 (0.979)	 Loss_pos 49.670 (30.577)	
train Epoch: [1][70/866]	 Time 1.112 (1.016)	 Data 0.809 (0.704)	 Total_loss 21.390 (31.556)	 Loss_sem 0.937 (0.974)	 Loss_pos 20.453 (30.582)	
train Epoch: [1][80/866]	 Time 1.006 (1.007)	 Data 0.728 (0.695)	 Total_loss 26.849 (32.678)	 Loss_sem 0.961 (0.975)	 Loss_pos 25.888 (31.703)	
train Epoch: [1][90/866]	 Time 0.786 (1.000)	 Data 0.481 (0.690)	 Total_loss 31.407 (32.370)	 Loss_sem 1.022 (0.976)	 Loss_pos 30.386 (31.393)	
train Epoch: [1][100/866]	 Time 1.156 (0.998)	 Data 0.827 (0.687)	 Total_loss 24.223 (33.096)	 Loss_sem 0.966 (0.980)	 Loss_pos 23.257 (32.116)	
train Epoch: [1][110/866]	 Time 0.840 (0.992)	 Data 0.551 (0.682)	 Total_loss 42.644 (33.146)	 Loss_sem 1.014 (0.979)	 Loss_pos 41.630 (32.167)	
train Epoch: [1][120/866]	 Time 0.761 (0.988)	 Data 0.426 (0.678)	 Total_loss 14.109 (32.941)	 Loss_sem 0.859 (0.978)	 Loss_pos 13.250 (31.963)	
train Epoch: [1][130/866]	 Time 0.943 (0.983)	 Data 0.650 (0.673)	 Total_loss 50.188 (32.655)	 Loss_sem 0.987 (0.978)	 Loss_pos 49.201 (31.676)	
train Epoch: [1][140/866]	 Time 1.029 (0.980)	 Data 0.703 (0.669)	 Total_loss 29.028 (32.144)	 Loss_sem 1.008 (0.978)	 Loss_pos 28.020 (31.166)	
train Epoch: [1][150/866]	 Time 0.824 (0.978)	 Data 0.519 (0.667)	 Total_loss 50.320 (32.224)	 Loss_sem 1.049 (0.978)	 Loss_pos 49.271 (31.246)	
train Epoch: [1][160/866]	 Time 0.842 (0.976)	 Data 0.564 (0.666)	 Total_loss 44.699 (31.908)	 Loss_sem 1.014 (0.977)	 Loss_pos 43.686 (30.931)	
train Epoch: [1][170/866]	 Time 0.954 (0.972)	 Data 0.617 (0.663)	 Total_loss 25.685 (31.685)	 Loss_sem 0.933 (0.976)	 Loss_pos 24.751 (30.709)	
train Epoch: [1][180/866]	 Time 0.767 (0.971)	 Data 0.478 (0.662)	 Total_loss 24.414 (31.473)	 Loss_sem 0.946 (0.974)	 Loss_pos 23.469 (30.499)	
train Epoch: [1][190/866]	 Time 1.070 (0.969)	 Data 0.758 (0.660)	 Total_loss 15.165 (31.389)	 Loss_sem 0.880 (0.974)	 Loss_pos 14.285 (30.416)	
train Epoch: [1][200/866]	 Time 0.906 (0.966)	 Data 0.612 (0.657)	 Total_loss 26.021 (31.351)	 Loss_sem 0.999 (0.974)	 Loss_pos 25.022 (30.377)	
train Epoch: [1][210/866]	 Time 0.736 (0.964)	 Data 0.458 (0.655)	 Total_loss 30.108 (31.118)	 Loss_sem 0.981 (0.973)	 Loss_pos 29.128 (30.145)	
train Epoch: [1][220/866]	 Time 0.776 (0.965)	 Data 0.488 (0.655)	 Total_loss 32.446 (30.950)	 Loss_sem 0.968 (0.972)	 Loss_pos 31.477 (29.978)	
train Epoch: [1][230/866]	 Time 1.032 (0.964)	 Data 0.713 (0.655)	 Total_loss 47.826 (31.010)	 Loss_sem 0.991 (0.972)	 Loss_pos 46.835 (30.038)	
